\23:56:35,411 root INFO Выбран 1
23:56:35,411 root INFO Всё сработало! Ура
23:56:35,411 root INFO Всё сработало!
00:01:39,524 root INFO Выбран 1
00:01:39,525 root INFO что нибудь
00:01:39,525 root INFO Всё сработало! Ура
00:01:39,525 root INFO Всё сработало!
17:19:09,500 root WARNING Выбран 2
17:19:10,82 root WARNING Всё сработало! Ура
17:19:10,82 root INFO Всё сработало!
17:20:24,203 root WARNING Выбран 2
17:20:24,955 root WARNING Всё сработало! Ура
17:20:24,955 root INFO Всё сработало!
17:20:32,98 root WARNING Выбран 2
17:20:33,931 root WARNING Всё сработало! Ура
17:20:33,940 root INFO Всё сработало!
